format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,parameters
2,full,Object,Create,1000,1000,5,84317,86176,86176,67713.4,67713.400,0,
2,full,Object,Find,1000,1000,5,3236,52643,52643,20576.400,20576.400,0,found=1000
2,full,Object,Rename,1000,1000,5,42456,45030,45030,35046.200,35046.200,0,
2,full,Object,Destroy,1000,1000,5,40974,42527,42527,33452.200,33452.200,0,
2,full,Object,Create,10000,10000,5,1010877,1024941,1024941,842708.000,84270.800,0,
2,full,Object,Find,10000,10000,5,98250,482242,482242,247351.400,24735.140,0,found=10000
2,full,Object,Rename,10000,10000,5,551908,615954,615954,493247.400,49324.740,0,
2,full,Object,Destroy,10000,10000,5,443282,486888,486888,377266.000,37726.600,0,
2,full,Object,Create,100000,100000,5,25079528,27504391,27504391,24194041.600,241940.416,0,
2,full,Object,Find,100000,100000,5,10451324,11957181,11957181,10546090.000,105460.900,0,found=100000
2,full,Object,Rename,100000,100000,5,24356380,28335019,28335019,24000222.800,240002.228,0,
2,full,Object,Destroy,100000,100000,5,8750116,9056347,9056347,8314065.600,83140.656,0,
2,full,Tick,StaticSchedule,1000,1000,5,450,721,721,534.600,534.600,0,
2,full,Tick,DependencyChange,1000,1000,5,627,704,704,634.600,634.600,0,chain=1
2,full,Tick,StaticSchedule,10000,10000,5,24056,24593,24593,23646.800,2364.680,0,
2,full,Tick,DependencyChange,10000,10000,5,35803,39752,39752,35947.600,3594.760,0,chain=1
2,full,GC,Collect,1000,1000,5,255,282,282,260.000,260.000,0,survival=10;density=0;outer_depth=0;collected=900
2,full,GC,Collect,1000,1000,5,273,285,285,268.800,268.800,0,survival=50;density=2;outer_depth=4;collected=500
2,full,GC,Collect,1000,1000,5,441,471,471,437.600,437.600,0,survival=90;density=8;outer_depth=16;collected=100
2,full,GC,Collect,10000,10000,5,1131,1241,1241,1005.400,100.540,0,survival=10;density=0;outer_depth=0;collected=9000
2,full,GC,Collect,10000,10000,5,789,1007,1007,822.000,82.200,0,survival=50;density=2;outer_depth=4;collected=5000
2,full,GC,Collect,10000,10000,5,2543,2561,2561,2393.600,239.360,0,survival=90;density=8;outer_depth=16;collected=1000
2,full,Replication,DirtyScan,100,100,5,51,56,56,51.400,514.000,23,dirty_percent=1
2,full,Replication,DirtyScan,100,100,5,51,53,53,51.000,510.000,230,dirty_percent=10
2,full,Replication,DirtyScan,100,100,5,80,83,83,81.200,812.000,2300,dirty_percent=100
2,full,Replication,DirtyScan,1000,1000,5,1053,1096,1096,1051.800,1051.800,230,dirty_percent=1
2,full,Replication,DirtyScan,1000,1000,5,1076,1707,1707,1190.800,1190.800,2300,dirty_percent=10
2,full,Replication,DirtyScan,1000,1000,5,1370,1575,1575,1406.600,1406.600,23000,dirty_percent=100
