format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,parameters
2,full,Object,Create,1000,1000,5,981,1057,1057,981,981.000,0,
2,full,Object,Find,1000,1000,5,228,317,317,248.200,248.200,0,found=1000
2,full,Object,Rename,1000,1000,5,877,1045,1045,927.200,927.200,0,
2,full,Object,Destroy,1000,1000,5,42733,44295,44295,34688.200,34688.200,0,
2,full,Object,Create,10000,10000,5,11503,13367,13367,11829.600,1182.960,0,
2,full,Object,Find,10000,10000,5,5144,7771,7771,5475.400,547.540,0,found=10000
2,full,Object,Rename,10000,10000,5,10407,10950,10950,10329.200,1032.920,0,
2,full,Object,Destroy,10000,10000,5,506665,524525,524525,418168.000,41816.800,0,
2,full,Object,Create,100000,100000,5,119043,149877,149877,129201.600,1292.016,0,
2,full,Object,Find,100000,100000,5,59435,67863,67863,61359.000,613.590,0,found=100000
2,full,Object,Rename,100000,100000,5,126132,167509,167509,136259.000,1362.590,0,
2,full,Object,Destroy,100000,100000,5,7898663,8247709,8247709,7864604.600,78646.046,0,
2,full,Tick,StaticSchedule,1000,1000,5,230,272,272,218.200,218.200,0,
2,full,Tick,CachedStaticFrames,1000,60000,5,1261,1425,1425,1280.000,21.333,0,frames=60;schedule_rebuilds=0
2,full,Tick,DependencyChange,1000,1000,5,244,291,291,243.600,243.600,0,chain=1
2,full,Tick,StaticSchedule,10000,10000,5,3180,4800,4800,3259.200,325.920,0,
2,full,Tick,CachedStaticFrames,10000,600000,5,20135,20647,20647,19964.600,33.274,0,frames=60;schedule_rebuilds=0
2,full,Tick,DependencyChange,10000,10000,5,4123,4674,4674,4107.200,410.720,0,chain=1
2,full,GC,Collect,1000,1000,5,300,475,475,352.000,352.000,0,survival=10;density=0;outer_depth=0;collected=900
2,full,GC,Collect,1000,1000,5,257,344,344,270.800,270.800,0,survival=50;density=2;outer_depth=4;collected=500
2,full,GC,Collect,1000,1000,5,354,407,407,365.800,365.800,0,survival=90;density=8;outer_depth=16;collected=100
2,full,GC,Collect,10000,10000,5,2100,2152,2152,2001.400,200.140,0,survival=10;density=0;outer_depth=0;collected=9000
2,full,GC,Collect,10000,10000,5,1771,2574,2574,1848.800,184.880,0,survival=50;density=2;outer_depth=4;collected=5000
2,full,GC,Collect,10000,10000,5,2804,4231,4231,3036.600,303.660,0,survival=90;density=8;outer_depth=16;collected=1000
2,full,Replication,DirtyScan,100,100,5,81,93,93,73.000,730.000,23,dirty_percent=1
2,full,Replication,DirtyScan,100,100,5,86,103,103,76.800,768.000,230,dirty_percent=10
2,full,Replication,DirtyScan,100,100,5,142,163,163,124.800,1248.000,2300,dirty_percent=100
2,full,Replication,DirtyScan,1000,1000,5,1291,2215,2215,1507.600,1507.600,230,dirty_percent=1
2,full,Replication,DirtyScan,1000,1000,5,1289,1655,1655,1337.800,1337.800,2300,dirty_percent=10
2,full,Replication,DirtyScan,1000,1000,5,1574,1849,1849,1613.600,1613.600,23000,dirty_percent=100
