format_version,category,current_bytes,reserved_bytes,peak_bytes,element_count,growth_count
3,Object.Slots,1600048,2212080,1600048,100003,3
3,Object.NameIndex,40,1048616,2000060,2,30
3,Object.HierarchyIndex,80,1048720,800152,1,20
3,GC.Scratch,0,1733088,812501,0,7
3,Profiler.Events,0,0,0,0,0
3,Replication.Schema,0,64,72,0,10
3,Replication.Channels,0,390872,504000,0,80
