format_version,preset,suite,case,scale,operations,samples,p50_us,p95_us,max_us,mean_us,ns_per_operation,bytes_per_frame,actors_skipped,dirty_actors,dirty_properties,encoded_properties,schema_cache_hits,schema_cache_misses,channel_index_hits,gather_p50_ns,compare_p50_ns,serialize_p50_ns,queue_p50_ns,gc_root_scan_p50_ns,gc_mark_p50_ns,gc_unreachable_sort_p50_ns,gc_destroy_p50_ns,gc_strong_reference_layouts,gc_strong_reference_properties,gc_scratch_peak_bytes,gc_scratch_reserved_bytes,gc_scratch_growth_count,parameters
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,94,96,96,94.600,0.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=typical;parents=10000;estimated_reserved_bytes=1611080;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Remove,100000,100000,5,1691,1717,1717,1693.800,16.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=typical;parents=10000;estimated_reserved_bytes=1611080;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Build,100000,100000,5,15198,18792,18792,16136.200,161.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=deep;parents=100000;estimated_reserved_bytes=14648576
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,1308,1403,1403,1282.200,12.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=deep;parents=100000;estimated_reserved_bytes=14648576
3,full,HierarchyLayoutAB,Remove,100000,100000,5,17457,20936,20936,17771.400,177.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=hashed;distribution=deep;parents=100000;estimated_reserved_bytes=14648576
3,full,HierarchyLayoutAB,Build,100000,100000,5,5968,7349,7349,6215.600,62.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=deep;parents=100000;estimated_reserved_bytes=5048584;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Traverse,100000,100000,5,537,570,570,538.400,5.384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=deep;parents=100000;estimated_reserved_bytes=5048584;child_slot_position_bytes=800008
3,full,HierarchyLayoutAB,Remove,100000,100000,5,4722,5447,5447,4858.200,48.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,layout=compact;distribution=deep;parents=100000;estimated_reserved_bytes=5048584;child_slot_position_bytes=800008
3,full,Tick,StaticSchedule,1000,1000,5,211,734,734,316.800,316.800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,1000,60000,5,1183,1194,1194,1180.400,19.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,1000,1000,5,238,248,248,238.600,238.600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,Tick,StaticSchedule,10000,10000,5,2875,3401,3401,2939.600,293.960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,full,Tick,CachedStaticFrames,10000,600000,5,19133,19748,19748,19160.000,31.933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frames=60;schedule_rebuilds=0
3,full,Tick,DependencyChange,10000,10000,5,3559,4793,4793,3760.200,376.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chain=1
3,full,GC,Collect,1000,1000,5,279,325,325,292.600,292.600,0,0,0,0,0,0,0,0,0,0,0,0,45500,1500,48000,113700,102,0,26901,1733088,13,survival=10;density=0;outer_depth=0;collected=900
3,full,GC,Collect,1000,1000,5,229,247,247,232.200,232.200,0,0,0,0,0,0,0,0,0,0,0,0,43500,9400,48100,66000,502,0,20501,1733088,13,survival=50;density=2;outer_depth=4;collected=500
3,full,GC,Collect,1000,1000,5,205,229,229,209.600,209.600,0,0,0,0,0,0,0,0,0,0,0,0,44600,38300,47700,13200,902,0,26061,1733088,13,survival=90;density=8;outer_depth=16;collected=100
3,full,GC,Collect,10000,10000,5,1420,1495,1495,1314.400,131.440,0,0,0,0,0,0,0,0,0,0,0,0,87800,6500,117900,1139100,1002,0,156501,1733088,13,survival=10;density=0;outer_depth=0;collected=9000
3,full,GC,Collect,10000,10000,5,1174,1247,1247,1185.000,118.500,0,0,0,0,0,0,0,0,0,0,0,0,88300,85300,116900,848400,5002,0,92501,1733088,13,survival=50;density=2;outer_depth=4;collected=5000
3,full,GC,Collect,10000,10000,5,830,1220,1220,897.600,89.760,0,0,0,0,0,0,0,0,0,0,0,0,116200,382300,130900,144200,9002,0,147565,1733088,13,survival=90;density=8;outer_depth=16;collected=1000
3,full,GC,Collect,100000,100000,5,45826,53753,53753,46142.000,461.420,0,0,0,0,0,0,0,0,0,0,0,0,1212400,3623400,1627600,37205400,50002,0,812501,1733088,13,survival=50;density=2;outer_depth=4;collected=50000
3,full,Replication,DirtyScanTwoClients,100,200,5,23,46,46,27.000,135.000,46,198,2,2,2,200,0,200,6300,200,700,100,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=1
3,full,Replication,DirtyScanTwoClients,100,200,5,33,41,41,34.800,174.000,460,180,20,20,20,200,0,200,9300,1100,5800,700,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=10
3,full,Replication,DirtyScanTwoClients,100,200,5,154,172,172,158.000,790.000,4600,0,200,200,200,200,0,200,40800,11100,55200,5400,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=100
3,full,Replication,DirtyScanTwoClients,1000,2000,5,382,410,410,371.600,185.800,460,1980,20,20,20,2000,0,2000,97500,2300,6100,800,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=1
3,full,Replication,DirtyScanTwoClients,1000,2000,5,403,514,514,427.800,213.900,4600,1800,200,200,200,2000,0,2000,81400,13000,62700,5500,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=10
3,full,Replication,DirtyScanTwoClients,1000,2000,5,1695,1949,1949,1767.400,883.700,46000,0,2000,2000,2000,2000,0,2000,384400,131900,570100,51500,0,0,0,0,0,0,0,0,0,clients=2;dirty_percent=100
